Name,Email,Password,Age,Gender,Department,Office,Department Name,Title,Teaching Team ID,Teaching
Dr Adan Senior,as52@nittany.edu,owq94wfe,57,F,STAT,"110, Building 14",Statistics,Head,21,STAT318
Dr Cavan Jacobs,cj88@nittany.edu,rlj07keq,56,M,STAT,"156, Building 14",Statistics,Professor,18,STAT319
Dr Carlyle Peters,cp54@nittany.edu,x26uaxzr,42,M,STAT,"227, Building 14",Statistics,Professor,39,STAT414
Dr Roy Fuller,rf73@nittany.edu,gusbe091,41,M,STAT,"104, Building 14",Statistics,Professor,46,STAT415
Dr Lexis Gardner,lg14@nittany.edu,zrcwnnrz,46,F,ECON,"206, Building 15",Economics,Head,51,ECON101
Dr Welborn Mitchell,wm35@nittany.edu,9ozcn0sr,55,M,ECON,"236, Building 15",Economics,Professor,20,ECON102
Dr Kourtney Booth,kb76@nittany.edu,cqw7hrg3,51,M,ECON,"224, Building 15",Economics,Professor,27,ECON201
Dr Finch Foster,ff47@nittany.edu,9uhmclic,50,F,CHEM,"217, Building 3",Chemistry,Head,10,CHEM110
Dr Royal Parsons,rp85@nittany.edu,cukoqrzk,44,M,CHEM,"257, Building 3",Chemistry,Professor,31,CHEM111
Dr Konnor Nicholson,kn67@nittany.edu,sekbfhqm,55,M,CHEM,"170, Building 3",Chemistry,Professor,34,CHEM112
Dr Rudd Sullivan,rs84@nittany.edu,qui392mr,53,M,IST,"195, Building 10",Information Science and Technology,Head,1,IST110
Dr Radcliff Silva,rs62@nittany.edu,ogmh36q7,56,M,IST,"274, Building 10",Information Science and Technology,Professor,32,IST558
Dr Mina Harding,mh33@nittany.edu,2xzermda,57,F,IST,"184, Building 10",Information Science and Technology,Professor,7,IST128
Dr Jair Woods,jw68@nittany.edu,x2boxvpo,58,M,DS,"213, Building 6",Data Science,Head,8,DS220
Dr Ralf Reed,rr63@nittany.edu,m56icvld,56,M,DS,"270, Building 6",Data Science,Professor,9,DS120
Dr Marni Amor,ma43@nittany.edu,jlt1x825,56,M,DS,"216, Building 6",Data Science,Professor,22,DS410
